time,motion,volume,beat_strength,motion_delta,stillness_score,label
13:29:43.106,0.79786,1.3155725355318282e-05,0.010819172859191895,0.0,0.19995038187132785,Noisy
13:29:43.742,1.0,3.268079922236211e-07,0.2959118843078613,0.0,0.0,Noisy
13:29:44.064,1.0,3.264680970005429e-07,0.3312416076660156,0.0,0.0,Noisy
13:29:44.379,0.907837,3.223614157832344e-07,0.2938832759857178,0.092163,0.05908004802453547,Noisy
13:29:44.678,1.0,3.244212507524935e-07,0.2986691236495972,0.092163,0.0,Noisy
13:29:44.988,1.0,3.5482290172694775e-07,0.2927734136581421,0.0,0.0,Noisy
13:29:45.276,1.0,3.4305048757232726e-07,0.30914931297302245,0.0,0.0,Noisy
13:29:45.545,1.0,7.65673685236834e-05,1.0,0.0,0.0,Noisy
13:29:45.893,1.0,0.0001484742242610082,0.5846723556518555,0.0,0.0,Noisy
13:29:46.193,1.0,5.083393261884339e-06,0.13854577541351318,0.0,0.0,Noisy
13:29:46.447,1.0,3.8058577047195286e-05,0.012972715497016906,0.0,0.0,Noisy
13:29:46.715,1.0,3.315299181849696e-07,0.2984073877334595,0.0,0.0,Noisy
13:29:46.983,1.0,3.308594784812158e-07,0.34453449249267576,0.0,0.0,Noisy
13:29:47.251,0.943195,3.264680970005429e-07,0.34732751846313475,0.056804999999999994,0.034969000096315164,Noisy
13:29:47.520,0.577517,3.271475179644767e-07,0.27124316692352296,0.36567800000000006,0.19529967039320129,Noisy
13:29:47.790,1.0,3.268079922236211e-07,0.36183652877807615,0.42248300000000005,0.0,Noisy
13:29:48.075,0.340123,1.3362944173422875e-06,0.4770944118499756,0.659877,0.11736043080547834,Noisy
13:29:48.359,0.466766,3.223614157832344e-07,0.3419318199157715,0.126643,0.3064646523434394,Noisy
13:29:48.701,1.0,3.288399739176384e-07,0.34593188762664795,0.533234,0.0,Noisy
13:29:49.032,0.503275,3.1715327963866e-07,0.35280508995056153,0.49672499999999997,0.16179173462965699,Noisy
13:29:49.344,0.878262,1.301460088143358e-05,0.6148134231567383,0.37498699999999996,0.029307630344230125,Noisy
13:29:49.645,0.220324,7.928593731776346e-06,0.3136007308959961,0.657938,0.183059539560013,Noisy
13:29:49.928,0.775315,9.863859304459766e-06,0.01903498321771622,0.554991,0.09808263172439922,Noisy
13:29:50.197,0.814423,5.988338784845837e-07,0.28697373867034914,0.03910800000000003,0.12714637795607034,Noisy
13:29:50.450,0.384176,3.6194794006405573e-07,0.33456923961639407,0.430247,0.23347799037165384,Noisy
13:29:50.701,0.312958,5.819089210490347e-07,0.3723776340484619,0.071218,0.40049328254564415,Neutral
13:29:50.971,0.210305,5.308892923494568e-06,0.04520431458950043,0.10265300000000002,0.6765936938827466,Neutral
13:29:51.226,0.232873,3.6256091107134125e-07,0.27780580520629883,0.022568000000000005,0.541511466754689,Neutral
13:29:51.540,0.938774,3.251049633945513e-07,0.28064494132995604,0.705901,0.012953066518648646,Noisy
13:29:51.791,0.821106,3.573173046333977e-07,0.30013275146484375,0.117668,0.11046973708378828,Noisy
13:29:52.058,0.904184,8.072799460023816e-07,0.23648829460144044,0.08307799999999999,0.06707887627741216,Noisy
13:29:52.325,1.0,2.7526039048098028e-06,0.3874577760696411,0.09581600000000001,0.0,Noisy
13:29:52.579,0.477281,1.2553288115668693e-06,0.11559381484985351,0.5227189999999999,0.22064478043424693,Noisy
13:29:52.845,0.188809,3.264680970005429e-07,0.3069297313690186,0.288472,0.4000297085351755,Neutral
13:29:53.117,0.362777,7.301568984985352e-07,0.1984369158744812,0.173968,0.42191571850358456,Neutral
13:29:53.386,1.0,1.7673430647846544e-06,0.3416775941848755,0.637223,0.0,Noisy
13:29:53.653,1.0,3.31864612235222e-07,0.3280832767486572,0.0,0.0,Noisy
13:29:53.981,1.0,5.40770486168185e-07,0.26504566669464114,0.0,0.0,Noisy
13:29:54.252,1.0,3.305237328277144e-07,0.3442192554473877,0.0,0.0,Noisy
13:29:54.521,1.0,3.1444651540368795e-05,0.8615069389343262,0.0,0.0,Noisy
13:29:54.805,1.0,3.268079922236211e-07,0.3603569507598877,0.0,0.0,Noisy
13:29:55.090,0.866186,4.31104780318492e-07,0.2387920141220093,0.133814,0.08822991515242623,Noisy
13:29:55.343,0.450761,4.48769924332737e-07,0.40593910217285156,0.415425,0.1907358716778035,Noisy
13:29:55.597,0.199241,3.3253303399760625e-07,0.35449678897857667,0.25152,0.38688357405536994,Noisy
13:29:55.853,0.493534,0.00020737876184284687,1.0,0.29429299999999997,0.0,Noisy
13:29:56.091,0.791923,3.0362555207830155e-06,0.48747959136962893,0.29838900000000007,0.07482217218199032,Noisy
13:29:56.344,0.962511,1.0621716910463874e-06,0.243454647064209,0.17058799999999996,0.02352386493294736,Noisy
13:29:56.595,0.664325,3.321989936466707e-07,0.29030256271362304,0.29818599999999995,0.16719147056660813,Noisy
13:29:56.914,0.177776,8.865877703101432e-07,0.38021895885467527,0.48654900000000006,0.2616538054960332,Noisy
13:29:57.167,0.132038,0.0001911510044010356,1.0,0.045738,0.0,Noisy
13:29:57.420,0.109791,4.306435585021973e-06,0.10005829334259034,0.02224699999999999,0.783309956262005,Silent
13:29:57.662,0.127351,3.321989936466707e-07,0.25993032455444337,0.017559999999999992,0.6344802335817539,Neutral
13:29:57.915,0.629085,6.481577088379709e-07,0.23334364891052245,0.501734,0.14168899062894055,Noisy
13:29:58.167,1.0,1.6210792637139093e-06,0.2893562316894531,0.370915,0.0,Noisy
13:29:58.421,0.82794,3.767231828533113e-05,0.9594144821166992,0.17206,0.005781406607549028,Noisy
13:29:58.689,0.768528,4.7380069645441836e-07,0.32293941974639895,0.05941200000000002,0.1474094144849774,Noisy
13:29:58.943,0.676429,3.3419820510971476e-07,0.34191503524780276,0.09209900000000004,0.19332584140491493,Noisy
13:29:59.210,1.0,3.31864612235222e-07,0.307956337928772,0.32357100000000005,0.0,Noisy
13:29:59.466,1.0,3.301876745354093e-07,0.3181022644042969,0.0,0.0,Noisy
13:29:59.785,1.0,5.953456820861902e-06,0.4379268646240234,0.0,0.0,Noisy
13:30:00.051,1.0,4.0205532059189864e-07,0.33752191066741943,0.0,0.0,Noisy
13:30:00.336,0.509901,3.5576033496909076e-07,0.2867729187011719,0.49009899999999995,0.17823678940625703,Noisy
13:30:00.603,0.270519,3.271475179644767e-07,0.2802859306335449,0.23938200000000004,0.3993378119872956,Noisy
13:30:00.873,0.197363,3.338658416396356e-07,0.2732579231262207,0.073156,0.5406372676168586,Neutral
13:30:01.177,0.271829,6.4047262640087865e-06,0.7181675434112549,0.07446599999999998,0.18993892726746717,Noisy
13:30:01.460,0.229234,8.244261948675558e-07,0.3171968698501587,0.042594999999999994,0.5038640641873872,Neutral
13:30:01.729,0.143132,3.401253252377501e-07,0.30052666664123534,0.08610199999999998,0.5477503523664471,Neutral
13:30:02.015,0.626963,3.251049633945513e-07,0.2966397523880005,0.483831,0.13543206677962263,Noisy
13:30:02.394,0.896331,6.909384069331281e-07,0.32848281860351564,0.26936799999999994,0.050863287576933716,Noisy
13:30:02.679,1.0,4.22258011667509e-07,0.27305238246917723,0.10366900000000001,0.0,Noisy
13:30:02.944,1.0,3.507316819195694e-07,0.27911014556884767,0.0,0.0,Noisy
13:30:03.228,1.0,1.0710193691920722e-06,0.19420804977416992,0.0,0.0,Noisy
13:30:03.514,1.0,3.308594784812158e-07,0.36563003063201904,0.0,0.0,Noisy
13:30:03.780,1.0,1.661444730416406e-05,0.7005980968475342,0.0,0.0,Noisy
13:30:04.048,1.0,5.473008286571712e-07,0.2929297924041748,0.0,0.0,Noisy
13:30:04.332,1.0,9.192941661240184e-07,0.2798449039459229,0.0,0.0,Noisy
13:30:04.619,1.0,3.315299181849696e-07,0.2759500503540039,0.0,0.0,Noisy
13:30:04.953,1.0,7.653454758838052e-07,0.28996355533599855,0.0,0.0,Noisy
13:30:05.237,1.0,9.120192316913744e-07,0.37760918140411376,0.0,0.0,Noisy
13:30:05.518,1.0,3.2748670264481916e-07,0.28007700443267824,0.0,0.0,Noisy
13:30:05.801,1.0,3.244212507524935e-07,0.3645143985748291,0.0,0.0,Noisy
13:30:06.070,0.945128,3.268079922236211e-07,0.27713398933410643,0.05487200000000003,0.03748858791341391,Noisy
13:30:06.369,1.0,1.8052558061754098e-06,0.3342352151870728,0.05487200000000003,0.0,Noisy
13:30:06.636,0.875981,7.223605962280999e-07,0.25119316577911377,0.12401899999999999,0.08134903347875885,Noisy
13:30:06.891,0.272809,3.34861937290043e-07,0.35534052848815917,0.603172,0.18602916033060768,Noisy
13:30:07.158,0.601286,3.6225455346539093e-07,0.31162025928497317,0.32847699999999996,0.18431059468468375,Noisy
13:30:07.413,0.668136,3.305237328277144e-07,0.28398880958557127,0.06684999999999997,0.22173347853253564,Noisy
13:30:07.727,1.0,0.00026475798222236335,1.0,0.33186400000000005,0.0,Noisy
13:30:07.966,1.0,7.061798442009604e-06,0.07892636656761169,0.0,0.0,Noisy
13:30:08.220,1.0,3.5388296737437486e-07,0.2880065679550171,0.0,0.0,Noisy
13:30:08.471,1.0,4.3876266886400117e-07,0.2907366991043091,0.0,0.0,Noisy
13:30:08.726,1.0,3.3253303399760625e-07,0.32890663146972654,0.0,0.0,Noisy
13:30:08.963,0.838609,4.5271090698406624e-07,0.40340089797973633,0.16139099999999995,0.08074603956724587,Noisy
13:30:09.244,0.425654,3.866068709612591e-06,0.04895357489585876,0.41295500000000007,0.3206601804506411,Noisy
13:30:09.500,0.286595,4.580743961923872e-07,0.3604434490203857,0.139059,0.3928152068713328,Noisy
13:30:09.754,0.745835,1.8693089032240096e-06,0.2554640293121338,0.45924000000000004,0.10233051919542012,Noisy
13:30:10.003,0.639296,5.4029555030865595e-05,1.0,0.10653900000000005,0.0,Noisy
13:30:10.286,1.0,1.723014429444447e-05,0.10623490810394287,0.360704,0.0,Noisy
13:30:10.554,1.0,3.875304628309095e-06,0.035665538907051084,0.0,0.0,Noisy
13:30:10.819,0.883596,5.466919219543342e-07,0.2628778457641602,0.11640399999999995,0.07581600079085161,Noisy
13:30:11.151,0.319146,3.816559512870299e-07,0.38315207958221437,0.5644500000000001,0.18292368873530038,Noisy
13:30:11.406,0.327695,3.3783268804654654e-07,0.2816558599472046,0.008549000000000029,0.4788174869112798,Neutral
13:30:11.674,0.248108,4.0033537516137585e-05,1.0,0.07958700000000002,0.0,Noisy
13:30:11.958,0.368507,3.9630645005672704e-06,0.14081785678863526,0.12039899999999998,0.4772410322827727,Neutral
13:30:12.230,0.127482,3.7083839288243325e-06,0.30593304634094237,0.24102499999999996,0.45962286178486295,Neutral
13:30:12.501,0.222439,1.777240754563536e-06,0.09558982253074647,0.09495699999999999,0.6364559521409283,Neutral
13:30:12.768,0.266471,1.7734259927237872e-06,0.3136549472808838,0.044032000000000016,0.4812850601153017,Neutral
13:30:13.020,0.338934,0.0004383369814604521,0.6260219573974609,0.072463,0.22920904891177374,Noisy
13:30:13.289,0.80599,5.6916192079370376e-06,0.35375356674194336,0.46705599999999997,0.06681921669038818,Noisy
13:30:13.555,1.0,8.330002287948446e-07,0.30287096500396726,0.19401000000000002,0.0,Noisy
13:30:13.823,0.712756,3.381611577424337e-07,0.26265559196472166,0.28724400000000005,0.15096007114042947,Noisy
13:30:14.137,1.0,3.545098650192813e-07,0.31690881252288816,0.28724400000000005,0.0,Noisy
13:30:14.407,0.981123,0.00014248050865717232,0.173425555229187,0.018877000000000033,0.015306522131250128,Noisy
13:30:14.675,0.663332,3.1532772482023574e-06,0.27116801738739016,0.31779099999999993,0.16739610024181445,Noisy
13:30:14.959,0.337522,4.460403317807504e-07,0.3149410724639893,0.32581000000000004,0.3059718720173408,Noisy
13:30:15.225,0.110642,3.453061799518764e-05,0.4727518558502197,0.22687999999999997,0.36251300165557726,Noisy
13:30:15.494,0.142598,7.414147603412857e-06,0.20946989059448243,0.031956,0.6561373883215944,Neutral
13:30:15.760,0.269678,8.019912456802558e-06,0.26104087829589845,0.12707999999999997,0.47109203211822104,Neutral
13:30:16.028,0.37794,8.483198712383455e-07,0.2806196689605713,0.10826200000000002,0.3990503910963473,Noisy
13:30:16.284,0.831101,4.3901562207793177e-07,0.24994654655456544,0.453161,0.06927532677295421,Noisy
13:30:16.554,1.0,3.903620836354094e-06,0.2887277126312256,0.16889900000000002,0.0,Noisy
13:30:16.888,0.957405,7.408739861602953e-07,0.3107160568237305,0.04259500000000005,0.02810943742303598,Noisy
13:30:17.139,0.523101,8.438926670351066e-06,0.11636178493499756,0.4343039999999999,0.238385779301327,Noisy
13:30:17.391,0.472937,9.945897545549087e-07,0.28558802604675293,0.05016400000000004,0.3576510040205668,Noisy
13:30:17.646,0.455058,3.9424767805940064e-07,0.3115774869918823,0.017878999999999978,0.3684428828776264,Noisy
13:30:17.899,0.274227,4.427927251526853e-07,0.38099193572998047,0.18083100000000002,0.3680191611924671,Noisy
13:30:18.150,0.30702,3.8570698279727367e-07,0.2941347599029541,0.03279300000000002,0.4731095994482584,Neutral
13:30:18.417,1.0,0.0002155528200091794,0.23937323093414306,0.6929799999999999,0.0,Noisy
13:30:18.684,1.0,2.1829564502695575e-06,0.3216811180114746,0.0,0.0,Noisy
13:30:18.972,1.0,2.746142854448408e-06,0.3549643516540527,0.0,0.0,Noisy
13:30:19.233,0.844956,3.529405319113721e-07,0.2811976194381714,0.15504399999999996,0.09416693000741984,Noisy
13:30:19.484,0.627316,3.381611577424337e-07,0.2973161220550537,0.21764000000000006,0.20488361517391143,Noisy
13:30:19.805,0.33199,5.951836647000164e-05,0.16186149120330812,0.295326,0.3945128535718702,Noisy
13:30:20.084,0.18875,1.1950694442930399e-06,0.3384819984436035,0.14324,0.4597852552687019,Neutral
13:30:20.351,1.0,1.0389219369244529e-06,0.33391566276550294,0.81125,0.0,Noisy
13:30:20.621,1.0,0.00017210596706718206,1.0,0.0,0.0,Noisy
13:30:20.885,1.0,0.0010913703590631485,0.5970230102539062,0.0,0.0,Noisy
13:30:21.184,1.0,0.001014651614241302,0.3078295707702637,0.0,0.0,Noisy
13:30:21.566,0.728997,3.0423923362832284e-06,0.31281683444976804,0.271003,0.13575975015074304,Noisy
13:30:21.985,1.0,1.7091300833271816e-05,1.0,0.271003,0.0,Noisy
13:30:22.295,1.0,4.1285361476184335e-06,0.12332632541656494,0.0,0.0,Noisy
13:30:22.575,0.758213,4.4027825651937746e-07,0.28528561592102053,0.24178699999999997,0.13102570481571515,Noisy
13:30:22.870,0.389626,4.300734417483909e-07,0.3334665298461914,0.36858700000000005,0.2568806081503119,Noisy
13:30:23.202,0.385583,4.0781296206660045e-07,0.2873725414276123,0.004042999999999963,0.43608001810537544,Neutral
13:30:23.472,0.413535,1.2008154044451658e-06,0.4253057956695557,0.027951999999999977,0.3276167559374941,Noisy
13:30:23.727,0.472957,0.000892955344170332,0.12224266529083253,0.05942200000000003,0.4347377510317475,Neutral
13:30:23.994,1.0,9.6754556579981e-06,0.23630826473236083,0.5270429999999999,0.0,Noisy
