time,motion,volume,stillness_score,label
10:14:22.610,0.112103,5.539545782085042e-07,0.8878965081453919,Silent
10:14:25.387,1.0,5.716927626053803e-05,0.0,Noisy
10:14:25.665,1.0,1.5893057934590615e-05,0.0,Noisy
10:14:25.904,1.0,2.0785917058674386e-06,0.0,Noisy
10:14:26.114,1.0,1.7710455040287343e-06,0.0,Noisy
10:14:26.348,1.0,6.707177817588672e-07,0.0,Noisy
10:14:26.587,1.0,3.2304947694683506e-07,0.0,Noisy
10:14:26.836,0.856855,3.264680970005429e-07,0.14314495326772422,Noisy
10:14:27.101,0.445759,3.268079922236211e-07,0.5542408188696115,Neutral
10:14:27.410,0.354545,3.261278322952421e-07,0.64545478949916,Neutral
10:14:27.617,0.343158,3.2850218190105807e-07,0.6568417842259697,Neutral
10:14:27.840,1.0,3.825334260909585e-06,0.0,Noisy
10:14:28.047,0.607956,5.378885816753609e-07,0.39204378912400883,Noisy
10:14:28.255,1.0,3.271475179644767e-07,0.0,Noisy
10:14:28.462,1.0,2.6970019462169148e-05,0.0,Noisy
10:14:28.674,1.0,3.880887379636988e-05,0.0,Noisy
10:14:28.897,0.489158,5.5822902140789665e-06,0.5108391483317025,Neutral
10:14:29.121,1.0,4.842304406338371e-07,0.0,Noisy
10:14:29.328,1.0,3.321989936466707e-07,0.0,Noisy
10:14:29.550,1.0,3.202883078756713e-07,0.0,Noisy
10:14:29.773,1.0,3.251049633945513e-07,0.0,Noisy
10:14:30.043,0.457696,3.2304947694683506e-07,0.5423038248089764,Neutral
10:14:30.241,0.321796,3.261278322952421e-07,0.6782037788187997,Neutral
10:14:30.445,0.112551,3.261278322952421e-07,0.8874487105781814,Silent
10:14:30.642,0.192264,3.268079922236211e-07,0.8077357360254196,Silent
10:14:30.848,0.522468,3.251049633945513e-07,0.4775318447519766,Neutral
10:14:31.056,0.767118,3.2270563110614603e-07,0.23288192484766726,Noisy
10:14:31.277,0.116236,5.155457074579317e-07,0.8837635443792634,Silent
10:14:31.500,0.21369,3.2578722652942815e-07,0.786309743830246,Silent
10:14:31.709,0.205553,3.24763277603779e-07,0.7944467419927884,Silent
10:14:31.920,0.200159,3.2270563110614603e-07,0.7998407418868053,Silent
10:14:32.144,0.202079,3.2373608860325476e-07,0.7979207416841765,Silent
10:14:32.349,0.151961,3.2132652449945454e-07,0.8480387275025755,Silent
10:14:32.570,0.332366,3.5482290172694775e-07,0.6676337631081669,Neutral
10:14:32.793,0.080095,3.233929533053015e-07,0.9199047025092053,Silent
10:14:33.117,0.139099,3.2304947694683506e-07,0.8609007218863822,Silent
10:14:33.364,0.138397,3.223614157832344e-07,0.8616027222524371,Silent
10:14:33.626,0.806723,3.233929533053015e-07,0.1932769374955802,Noisy
10:14:33.849,0.756785,3.202883078756713e-07,0.24321492210107917,Noisy
10:14:34.074,0.260668,1.6798096112324856e-05,0.739319580630005,Silent
10:14:34.297,0.11039,6.194798061187612e-06,0.8896044890456968,Silent
10:14:34.536,0.083351,6.978136184443429e-07,0.9166483603498445,Silent
10:14:34.743,0.084009,3.281640204022551e-07,0.9159906994047108,Silent
10:14:34.952,0.100575,3.244212507524935e-07,0.8994247082074166,Silent
10:14:35.159,1.0,3.244212507524935e-07,0.0,Noisy
10:14:35.366,0.185117,3.5762786865234375e-07,0.8148827085751296,Silent
10:14:35.573,0.445412,3.3979875979639473e-07,0.5545878115516855,Neutral
10:14:35.778,0.188395,3.411031741507031e-07,0.8116047231589584,Silent
10:14:35.986,0.202408,3.365155976098322e-07,0.7975917315978515,Silent
10:14:36.239,0.313801,3.271475179644767e-07,0.6861987755117003,Neutral
10:14:36.446,0.327105,3.2132652449945454e-07,0.6728947837809883,Neutral
10:14:36.684,1.0,3.2304947694683506e-07,0.0,Noisy
10:14:36.892,1.0,1.9787710243690526e-06,0.0,Noisy
10:14:37.116,1.0,3.2985127518259105e-07,0.0,Noisy
10:14:37.323,1.0,3.2373608860325476e-07,0.0,Noisy
10:14:37.561,1.0,3.2544627970310103e-07,0.0,Noisy
10:14:37.807,1.0,3.261278322952421e-07,0.0,Noisy
10:14:38.025,0.401944,3.244212507524935e-07,0.5980558059779244,Neutral
10:14:38.247,0.133949,4.612143982285488e-07,0.8660506005648092,Silent
10:14:38.514,0.158364,3.2132652449945454e-07,0.8416357295600293,Silent
10:14:38.963,0.937357,3.244212507524935e-07,0.0626429796772796,Noisy
10:14:39.494,1.0,3.2373608860325476e-07,0.0,Noisy
10:14:39.871,0.606508,3.2132652449945454e-07,0.3934918735605832,Noisy
10:14:40.194,0.386864,3.2373608860325476e-07,0.6131358015057496,Neutral
10:14:40.432,0.34794,3.233929533053015e-07,0.6520597891283908,Neutral
10:14:40.686,0.875657,8.824318683764432e-06,0.12434190275774189,Noisy
10:14:40.926,0.50501,3.1975405363482423e-06,0.49498841724940995,Neutral
10:14:41.149,0.717694,5.984629751765169e-07,0.28230583105031126,Noisy
10:14:41.413,0.431415,3.1411420877702767e-06,0.568583213993726,Neutral
10:14:41.663,0.332297,1.3695294001081493e-06,0.6677020855611109,Neutral
10:14:41.914,0.116365,6.531061558234796e-07,0.8836344228925419,Silent
10:14:42.147,0.09578,3.2270563110614603e-07,0.9042197082031143,Silent
10:14:42.414,0.149035,3.2373608860325476e-07,0.8509647245119193,Silent
10:14:42.660,0.126255,3.261278322952421e-07,0.8737447150474371,Silent
10:14:42.951,0.116219,3.2748670264481916e-07,0.8837807105734745,Silent
10:14:43.193,0.124878,3.195943065747997e-07,0.8751217203159912,Silent
